Date,100 SPY,100 LQD,80-20 SPYxLQD - Daily,60-40 SPYxLQD - Daily,50-50 SPYxLQD - Daily,80-20 SPYxLQD - Monthly,60-40 SPYxLQD - Monthly,50-50 SPYxLQD - Monthly,80-20 SPYxLQD - Yearly,60-40 SPYxLQD - Yearly,50-50 SPYxLQD - Yearly,Fast Algo - Daily,Fast Algo - Monthly,Fast Algo - Yearly,Round Robin - Daily,,,,,,,,,,,,,,,,,
9/6/2018,100.9458462,100.3459286,100.8297147,100.71165,100.6518949,100.8258626,100.7058791,100.6458874,100.8258626,100.7058791,100.6458874,101.6113736,100.9347025,100.9347025,102.324423,,,,,,,,,,,,,,,,,
9/7/2018,100.7497052,99.92758384,100.5889102,100.4262907,100.3442999,100.5852809,100.4208567,100.3386445,100.5852809,100.4208567,100.3386445,101.4174396,100.6285535,100.6285535,101.6142624,,,,,,,,,,,,,,,,,
9/10/2018,100.9248185,100.2587523,100.7954492,100.6641499,100.5977789,100.7916053,100.658392,100.5917854,100.7916053,100.658392,100.5917854,101.5937579,100.8272591,100.8272591,101.9418664,,,,,,,,,,,,,,,,,
9/11/2018,101.2576392,100.0321779,101.0158071,100.7723303,100.6499798,101.012547,100.7674547,100.6449086,101.012547,100.7674547,100.6449086,101.9957846,101.0657556,101.0657556,101.7988776,,,,,,,,,,,,,,,,,
9/12/2018,101.2821598,100.2326255,101.0758604,100.8677445,100.7630093,101.0722529,100.8623461,100.7573927,101.0722529,100.8623461,100.7573927,102.1958033,101.2124275,101.2124275,102.1780454,,,,,,,,,,,,,,,,,
9/13/2018,101.8811902,100.4418295,101.5963014,101.3099039,101.1661448,101.5933181,101.3054459,101.1615099,101.5933181,101.3054459,101.1615099,102.7252679,101.6751229,101.6751229,102.5185593,,,,,,,,,,,,,,,,,
9/14/2018,101.8987015,100.3197939,101.5855836,101.2711157,101.1133811,101.58292,101.2671385,101.1092477,101.58292,101.2671385,101.1092477,102.3367884,101.6813319,101.6813319,102.2321617,,,,,,,,,,,,,,,,,
9/17/2018,101.3592026,100.2587523,101.1429483,100.9247618,100.8149484,101.1391125,100.9190225,100.8089774,101.1391125,100.9190225,100.8089774,101.5575724,101.4490279,101.4490279,102.5900494,,,,,,,,,,,,,,,,,
9/18/2018,101.9092036,99.84916398,101.4993703,101.0884243,100.882542,101.4971957,101.0851878,100.8791838,101.4971957,101.0851878,100.8791838,102.3056152,101.905171,101.905171,102.4185867,,,,,,,,,,,,,,,,,
9/19/2018,102.0178348,99.70096991,101.5557971,101.0930647,100.8614465,101.5544618,101.0910889,100.8594024,101.5544618,101.0910889,100.8594024,101.9560311,101.9300728,101.9300728,101.9872495,,,,,,,,,,,,,,,,,
9/20/2018,102.8445477,99.96245117,102.2674412,101.6906489,101.4023798,102.2681284,101.6917091,101.4034994,102.2681284,101.6917091,101.4034994,102.7422447,102.6596938,102.6596938,102.853182,,,,,,,,,,,,,,,,,
9/21/2018,102.7505796,99.97987693,102.1962541,101.6419915,101.364893,102.1964391,101.6422985,101.3652283,102.1964391,101.6422985,101.3652283,102.6010232,102.7252619,102.7252619,102.9801109,,,,,,,,,,,,,,,,,
9/24/2018,102.4092259,99.75327091,101.8783185,101.3472397,101.0816453,101.8780349,101.3468439,101.0812484,101.8780349,101.3468439,101.0812484,102.2886731,102.1316397,102.1316397,101.6701826,,,,,,,,,,,,,,,,,
9/25/2018,102.3142381,99.75327091,101.8027222,101.290838,101.0347671,101.8020447,101.2898512,101.0337545,101.8020447,101.2898512,101.0337545,102.1993456,101.8470002,101.8470002,100.8300803,,,,,,,,,,,,,,,,,
9/26/2018,102.0080829,100.1106215,101.631961,101.2541258,101.0645745,101.6285906,101.2490983,101.0593522,101.6285906,101.2490983,101.0593522,102.399213,101.4003053,101.4003053,100.2032208,,,,,,,,,,,,,,,,,
9/27/2018,102.2931049,100.2413503,101.885681,101.4767638,101.2717546,101.882754,101.4724031,101.2672276,101.882754,101.4724031,101.2672276,102.8395583,101.5440514,101.5440514,100.2148748,,,,,,,,,,,,,,,,,
9/28/2018,102.3036657,100.1716156,101.8799202,101.4548121,101.2417565,101.8772556,101.4508456,101.2376406,101.8772556,101.4508456,101.2376406,102.9719176,101.5681841,101.5681841,100.5417695,,,,,,,,,,,,,,,,,
10/1/2018,102.659073,100.0334831,102.1349707,101.6103263,101.3478115,102.133955,101.608837,101.346278,102.133955,101.608837,101.346278,103.1217529,102.0081666,102.0081666,100.7378747,,,,,,,,,,,,,,,,,
10/2/2018,102.5992484,100.1208887,102.1052038,101.6103116,101.3625583,102.1041884,101.6088224,101.3610246,102.1035765,101.6079046,101.3600686,102.6523302,101.5438131,102.1409114,101.5288953,,,,,,,,,,,,,,,,,
10/3/2018,102.6555566,99.53515233,102.0305644,101.4059909,101.0938728,102.0293974,101.4042774,101.092107,102.0314758,101.4073949,101.0953545,102.4466103,101.312223,102.0215489,100.5175541,,,,,,,,,,,,,,,,,
10/4/2018,101.8532354,99.12425885,101.3083762,100.7630113,100.4901509,101.3069193,100.7608637,100.4879335,101.3074401,100.7616448,100.4887471,101.2822579,100.116541,101.4919341,100.4598027,,,,,,,,,,,,,,,,,
10/5/2018,101.2831444,98.73960288,100.7761168,100.2682119,100.0139419,100.7746328,100.2660229,100.0116811,100.7744361,100.2657278,100.0113736,101.1612279,99.76350557,101.2157026,100.6940681,,,,,,,,,,,,,,,,,
10/8/2018,101.2831444,98.63467657,100.7546987,100.2255916,99.9608017,100.7532069,100.2233914,99.95852943,100.7534508,100.2237572,99.95891046,101.2410897,99.76010195,101.4525081,101.4230139,,,,,,,,,,,,,,,,,
10/9/2018,101.1353412,98.91441415,100.6942232,100.2515355,100.0296143,100.6926916,100.249274,100.0272773,100.6911558,100.2469704,100.0248777,101.4455572,99.80632251,101.0208972,100.3648055,,,,,,,,,,,,,,,,,
10/10/2018,97.93309477,98.64344878,98.08843154,98.23712669,98.30898619,98.08866739,98.2374891,98.30936837,98.07516557,98.21723637,98.28827177,99.28026497,97.00742635,98.29177722,98.90081569,,,,,,,,,,,,,,,,,
10/11/2018,95.77596635,99.05431062,96.4417016,97.10249935,97.43101656,96.4556897,97.12338581,97.45272364,96.4316352,97.08730405,97.41513848,96.96947374,94.79616033,96.07153715,97.09874369,,,,,,,,,,,,,,,,,
10/12/2018,97.10615921,99.07179965,97.51665834,97.91852704,98.11620736,97.51797192,97.92044232,98.11817416,97.49928729,97.89241538,98.08897943,97.61264345,96.41325379,96.95883002,97.33285486,,,,,,,,,,,,,,,,,
10/15/2018,96.56070008,98.88817664,97.04229824,97.51591945,97.74971506,97.04634097,97.52190908,97.75591583,97.02619539,97.4916907,97.72443836,97.35344125,95.85133944,96.64941373,97.57562789,,,,,,,,,,,,,,,,,
10/16/2018,98.67206931,99.14177162,98.78959028,98.89530328,98.94373673,98.77858034,98.87880608,98.92656197,98.76600977,98.85995024,98.90692047,99.19399525,98.22735951,98.33434141,98.79807426,,,,,,,,,,,,,,,,,
10/17/2018,98.68965097,98.65214979,98.70609585,98.71051429,98.70822986,98.69259317,98.69031415,98.68721668,98.68215073,98.6746505,98.67090038,99.39096864,98.2392879,98.17757325,98.67957115,,,,,,,,,,,,,,,,,
