Date,SPY,XLE,XLF,XLK,XLV,XLI,XLY,XLP,XLU,XLB,LQD,BIL,SHY,IEF,TLT,VGSH,VGIT,VGLT,BND
2019-08-12,4.607859233063394e-19,-0.0011495395216591967,-0.0002605839116667897,0.00024411822262344727,-0.0001047256176203487,-0.00020694702717005738,1.3362167419163167e-05,0.0004644444577117535,0.000676559971714559,5.868730111336398e-06,0.0008108742796642109,8.79577868576596e-05,0.00021045487638552822,0.0007747039935228438,0.0015793880429906591,0.0002168036381846697,0.0005372936611293068,0.0015546985097196222,0.000566906211475616
2019-08-13,-2.168404344971009e-19,-0.0012143585326921062,-0.00028613259352616174,0.00028207352487318613,-0.00010004707846266814,-0.0002456070294293614,1.2587710826935555e-05,0.00048133867262625384,0.0006404540608015963,-2.4379441167174398e-05,0.000787490630625175,8.790523820200176e-05,0.00020068874953881695,0.0007515853797957951,0.0015729599030928627,0.0002071750100888675,0.0005130160118039215,0.0015453892532537004,0.000553594860445213
2019-08-14,8.131516293641283e-20,-0.0013036151782656043,-0.00036276659589907665,0.0003802519335191104,-0.00014506218615276267,-0.00024314239191242687,1.6869519148398374e-05,0.0004957350209704932,0.0006194236467329626,-6.785071412416366e-05,0.0008237845864776861,8.600336851478924e-05,0.00020287456244607807,0.0007698753993216285,0.001711026706286939,0.0002057773191419679,0.0005183074048192618,0.0016723339221131617,0.0005681923583583631
2019-08-15,-2.168404344971009e-19,-0.00138328596068596,-0.00033661750163740836,0.00032078202402186163,-0.0001289934552613998,-0.0002824037397656981,-3.4294125202721326e-05,0.000633631848703059,0.0007459170233116927,-9.217929933759284e-05,0.0008667657900595736,9.003088196947817e-05,0.00022456379608391168,0.0008355092369166873,0.0018242709900304877,0.00022958586935605728,0.0005632472526167116,0.0017867715631736695,0.0006170831242671738
2019-08-16,9.486769009248164e-20,-0.0013657884773949221,-0.00030665331243606356,0.0003114100181427584,-0.0001300961329145213,-0.00023892475736297217,-7.609384763645922e-05,0.0006472816474325828,0.00074356359468142,-4.374099967707212e-05,0.0008712769849901763,8.757746338034536e-05,0.0002258817991938079,0.0008223429053378212,0.0017727175866605904,0.00023165364251989467,0.0005607926474093017,0.0017376453908828412,0.0006091058090426176
2019-08-19,3.7947076036992655e-19,-0.0012500642232731317,-0.0003307264555601605,0.0003061239262091626,-0.00013473692280355063,-0.00027200459877580347,-7.40507696086228e-05,0.0006614557318955663,0.0007635742784184861,-7.713720698385054e-05,0.0008247227815259419,8.659046560669816e-05,0.0002167218523995184,0.0007837510614518749,0.0016488711203821744,0.00022126034447156437,0.0005395158037988019,0.0016257970791596537,0.0005774133226413995
2019-08-20,4.0657581468206416e-19,-0.0012418308578108215,-0.000388107108340371,0.0003623906848408468,-0.00015826871943050956,-0.0002485081806156109,2.2393795100681963e-05,0.0005804939500853568,0.0007557348831395499,-0.00013063916542962708,0.0008820236247673223,8.692421651617434e-05,0.00021914696528791555,0.0008105459644121389,0.001713962740391816,0.0002232381506083428,0.0005574537270853664,0.0016865768276206785,0.0005935300923034646
2019-08-21,1.6263032587282567e-19,-0.0012546094604391786,-0.0004255401076163705,0.0003735645740871897,-0.0001509001262519983,-0.0002732492938239592,0.00013056550432460402,0.000552317368854021,0.0008000706316120178,-0.00016010611653137833,0.00088878820152962,8.484096578062744e-05,0.0002093811236399612,0.0007857445798057694,0.0016523693827639936,0.0002113661632881106,0.0005354929935879303,0.0016229887594213723,0.00058750279414763
2019-08-22,0.0,-0.001289521623278696,-0.00034539844187885665,0.0003496094106310549,-0.00019864052516334888,-0.0002553756453325054,0.0001308764414031427,0.0006138945480280142,0.0008100998752281481,-0.00022982721010079103,0.0008422250370158733,8.747140255980269e-05,0.0002021788264951636,0.0007541061697140107,0.001564339581980456,0.00020564587733811306,0.0005176013595829269,0.0015394812795547388,0.0005610992132279345
2019-08-23,0.0,-0.001365431861927845,-0.0003290884144932346,0.0003515195022187137,-0.00021888643925340302,-0.00024865073055712873,0.00013576939264624776,0.0006005932249245987,0.0007636511545301694,-0.00022388722926326054,0.0008795192375359753,8.563051647204798e-05,0.00020859527210033467,0.0007731069696425145,0.0016214096474116372,0.00021240729336827077,0.0005290846737947333,0.0015923163646758983,0.000575898501174048
2019-08-26,-5.421010862427522e-20,-0.0014265568531177252,-0.0003412353355871884,0.0003372427936543577,-0.00020373544416938435,-0.00028727611197038613,0.00011443852596032136,0.0006561513035010797,0.0008472939503959106,-0.0002922949595252308,0.0008704648470213398,8.550222923152995e-05,0.0002058661198024424,0.0007752847035403568,0.001607232321188143,0.00020726969908781124,0.0005298074993626935,0.0015777940682596252,0.0005726416312760228
2019-08-27,2.507217523872729e-19,-0.001436568241811196,-0.000358256551169266,0.0003717100196016449,-0.00023040366792622877,-0.0002952697801374802,0.00010517246279065469,0.0006494785031574827,0.0008678858291023737,-0.00024783422685682743,0.0009191119208621654,8.590143817265204e-05,0.00020583091902107918,0.0008062993571398864,0.0017391653173248318,0.00021068309481849298,0.0005401047884285266,0.0017108535418110928,0.0006003077781456249
