Date,100 SPY,Round Robin - Daily
2018-08-08,100.0,100.00000000000001
2018-08-09,99.86336709792512,100.31383974605633
2018-08-10,99.19430307491425,100.73397358724063
2018-08-13,98.82296679880255,100.66575972729011
2018-08-14,99.453515276114,100.6027982077086
2018-08-15,98.71084272389064,100.90098452796755
2018-08-16,99.50955387136322,100.90215195139025
2018-08-17,99.8598859302219,100.97854273137042
2018-08-20,100.0735499236956,101.33709991441857
2018-08-21,100.3083119032493,101.13603092097938
2018-08-22,100.24873353478002,101.31115012399565
2018-08-23,100.11564040592522,101.33706576830141
2018-08-24,100.71815200395703,101.44875240743987
2018-08-27,101.51335854151964,101.17533632916252
2018-08-28,101.56239963805231,100.83553269712701
2018-08-29,102.1088726408349,100.83189505991974
2018-08-30,101.6954927669071,100.98636853304951
2018-08-31,101.69900909792042,100.91141649262704
2018-09-04,101.52386065014612,100.53061134146584
2018-09-05,101.25063000930653,100.4112841656455
2018-09-06,100.94584615817392,100.66230865200244
2018-09-07,100.74970521425001,100.04664399315509
2018-09-10,100.92481849871417,100.23513102840403
2018-09-11,101.25763922912647,99.73134305050166
2018-09-12,101.2821597773928,99.8814354147647
2018-09-13,101.8811902077214,99.95841182198666
2018-09-14,101.89870153616782,99.72400795966864
2018-09-17,101.35920258989499,99.74063082348911
2018-09-18,101.90920364479432,99.20415654685745
2018-09-19,102.01783483089963,98.9819103645857
2018-09-20,102.84454769434177,99.15031550621947
2018-09-21,102.75057960856205,99.16845458587093
2018-09-24,102.40922591489071,99.01190502563448
2018-09-25,102.31423809311714,98.93928689588476
2018-09-26,102.0080828728893,99.32563520556636
2018-09-27,102.29310494372697,99.37180155825256
2018-09-28,102.30366565787035,99.32328604310135
2018-10-01,102.65907295449162,99.01556842421375
2018-10-02,102.59924844285139,99.28845398769448
2018-10-03,102.65555662347828,98.43127549284252
2018-10-04,101.85323537616533,98.06231508676129
2018-10-05,101.2831443500765,97.8364495059141
2018-10-08,101.2831443500765,97.81876783610508
2018-10-09,101.13534123648259,98.00173909397553
2018-10-10,97.93309476980919,97.94389763917187
2018-10-11,95.77596634636792,98.26709417289389
2018-10-12,97.1061592054029,98.2278123262669
2018-10-15,96.56070007806248,98.1986534774383
2018-10-16,98.67206931391688,98.27009962407227
2018-10-17,98.68965096898357,97.98997953173041
2018-10-18,97.26448786983006,98.05804852242936
2018-10-19,97.21173704407833,97.9499904024079
2018-10-22,96.77536622587499,97.92692682792887
2018-10-23,96.28270480869982,98.11543710718315
2018-10-24,93.36546283120903,98.43947781392265
2018-10-25,95.04049055161853,98.27453703604914
2018-10-26,93.368967441119,98.55303918124777
2018-10-29,92.85169756740217,98.4922788270876
2018-10-30,94.22759686905884,98.23307452579253
2018-10-31,95.23405285279931,97.91179278581612
2018-11-01,96.24750633525635,98.08500059216027
2018-11-02,95.67746219358104,97.25827112914767
2018-11-05,96.20527519978619,97.4721627935723
2018-11-06,96.81406344867678,97.3849805738993
2018-11-07,98.88676476448785,97.44122629975334
2018-11-08,98.70726778736041,97.36673250433994
2018-11-09,97.74308396295191,97.89385856683036
2018-11-12,95.91671921628011,98.3445407224163
2018-11-13,95.73727498411789,98.32103821424431
2018-11-14,95.08272754764037,98.46966944498672
2018-11-15,96.07508304401739,98.48135039890514
2018-11-16,96.32492422306663,98.88471911043706
2018-11-19,94.69565569024402,99.08418553632497
2018-11-20,92.94319250036918,99.03847512497754
2018-11-21,93.2598908530853,99.07834982440622
2018-11-23,92.63704314069304,99.1369525312675
2018-11-26,94.13260904728523,99.03756968951416
2018-11-27,94.44930740000136,99.08349394609243
2018-11-28,96.62404092071606,98.90467197612222
2018-11-29,96.41288524336521,99.10332461257187
2018-11-30,97.00055792452072,99.31673710232562
2018-12-03,98.28499159596882,99.81152094484122
2018-12-04,95.10030920270704,100.74038598691256
2018-12-06,94.95605758343662,101.05404938224157
2018-12-07,92.74964192029175,101.20850415669517
2018-12-10,92.92559326364741,101.51942683381472
2018-12-11,92.94672641303755,101.49276487879541
2018-12-12,93.41473248925755,101.22311567346664
2018-12-13,93.38306792848245,101.19342906056366
2018-12-14,91.65875882892107,101.37393165048152
2018-12-17,89.86056575421779,101.76853978704422
2018-12-18,89.7620381592241,102.2201757963241
2018-12-19,88.41778583668747,102.94889642234749
2018-12-20,86.97853397127386,101.44490690699688
2018-12-21,85.19636364488801,99.96778803284792
2018-12-24,82.9452261118052,97.01556454434446
2018-12-26,87.13601871625782,101.83830949855378
2018-12-27,87.80501241264842,103.06448067383928
2018-12-28,87.69174553015718,102.64974288504632
2018-12-31,88.45981185284855,103.50757533363024
2019-01-02,88.55184009601925,104.50046405751402
2019-01-03,86.43874199741663,102.11822040121866
2019-01-04,89.33407723269436,105.80670595956133
2019-01-07,90.03845107963082,106.54067221755
2019-01-08,90.8843806920608,107.41310491968436
2019-01-09,91.30913003626507,108.16289656808874
2019-01-10,91.63123767819005,108.85844627633755
2019-01-11,91.66660610763253,108.62688580569564
2019-01-14,91.10738054437492,108.53781704361515
2019-01-15,92.15154331768174,108.61445668183337
2019-01-16,92.3745138672374,109.29114374266581
2019-01-17,93.07534794095376,110.64147540707057
2019-01-18,94.31419238081392,112.66229304798365
2019-01-22,93.0399619298562,110.7527033737401
2019-01-23,93.23463773585787,110.35264677459982
2019-01-24,93.28419456093914,110.5571525006493
2019-01-25,94.07349366239937,112.01001970826061
2019-01-28,93.35853565911277,111.33359426566446
2019-01-29,93.23463773585787,111.99547090318913
2019-01-30,94.71063526036082,113.28787222187542
2019-01-31,95.5423881982554,113.12682108760245
